time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,hour,expected,estimated_std,z_score,is_zscore_anomaly,is_low_traffic,abs_deviation,is_volume_anomaly,is_outage,historical_max,is_spike,actual_change,expected_change,change_deviation,change_std,change_z_score,is_slope_anomaly,anomaly_score,severity,is_anomalous
00h,6,9,5,5.0,4.92,0,5.78,2.013686503240595,0.10925235861985325,False,True,0.21999999999999975,False,False,9.0,False,,,,,,False,0,NORMAL,False
01h,3,3,2,2.0,1.92,1,2.18,1.0,0.8199999999999998,False,True,0.8199999999999998,False,False,3.0,False,-3.0,-3.6,0.6000000000000001,3.0,0.20000000000000004,False,0,NORMAL,False
02h,3,1,2,0.42,0.75,2,1.0135,1.0,1.9865,False,True,1.9865,False,False,2.0,False,0.0,-1.1665,1.1665,3.0,0.38883333333333336,False,0,NORMAL,False
03h,0,1,1,0.42,0.46,3,0.6910000000000001,1.0,-0.6910000000000001,False,True,0.6910000000000001,False,False,1.0,False,-3.0,-0.3225,-2.6775,3.0,-0.8925000000000001,False,0,NORMAL,False
04h,0,0,0,0.14,0.21,4,0.0945,1.0,-0.0945,False,True,0.0945,False,False,0.21,False,0.0,-0.5965,0.5965,3.0,0.19883333333333333,False,0,NORMAL,False
05h,2,1,1,0.71,0.71,5,0.8405,1.0,1.1595,False,True,1.1595,False,False,1.0,False,2.0,0.746,1.254,3.0,0.418,False,0,NORMAL,False
06h,3,1,2,1.42,2.1,6,1.651,1.0,1.349,False,True,1.349,False,False,2.1,False,1.0,0.8105,0.1895,3.0,0.06316666666666666,False,0,NORMAL,False
07h,10,2,9,3.0,5.03,7,4.8075,3.096539735468178,1.6768717483339273,False,False,5.1925,True,False,9.0,False,7.0,3.1565000000000003,3.8434999999999997,3.0,1.2811666666666666,False,1,INFO,True
08h,25,0,12,3.71,9.82,8,6.568,5.515169232822023,3.342055197564381,True,False,18.432000000000002,True,False,12.0,False,15.0,1.7604999999999995,13.2395,3.0,4.413166666666666,False,2,WARNING,True
09h,36,2,27,10.14,17.64,9,14.602,10.661411726408469,2.0070512751136746,True,False,21.398,True,False,27.0,False,11.0,8.034,2.9659999999999993,5.396192330399897,0.5496468284295192,False,2,WARNING,True
10h,43,55,42,26.14,28.57,10,36.4845,13.348701247686982,0.4880999191684649,False,False,6.515500000000003,False,False,55.0,False,7.0,21.882499999999997,-14.882499999999997,19.634482210302025,-0.7579777169876826,False,0,NORMAL,False
11h,44,36,47,25.0,28.28,11,33.52,10.056000000000001,1.0421638822593473,False,False,10.479999999999997,False,False,47.0,False,1.0,-2.964499999999994,3.964499999999994,10.454065795979412,0.37923044271681583,False,0,NORMAL,False
12h,46,51,46,24.0,25.89,12,35.3725,13.773453633711481,0.7715929702618998,False,False,10.627499999999998,False,False,51.0,False,2.0,1.8524999999999991,0.14750000000000085,8.2577049878684,0.017862105780806745,False,0,NORMAL,False
13h,45,36,31,20.28,24.17,13,27.0765,8.12295,2.2065259542407625,True,False,17.9235,False,False,36.0,False,-1.0,-8.296000000000003,7.296000000000003,7.136721936575643,1.0223180985387788,False,1,INFO,True
14h,19,32,35,19.57,24.89,14,27.243499999999997,8.173049999999998,-1.0086197931004948,False,False,8.243499999999997,False,False,35.0,False,-26.0,0.16699999999999804,-26.166999999999998,3.3177540093663764,-7.886962061119584,True,1,INFO,True
15h,0,51,42,22.427,27.78,15,34.3731,13.072076049732882,-2.629505816002531,True,False,34.3731,False,True,51.0,False,-19.0,7.1296000000000035,-26.129600000000003,7.627724578798057,-3.4256087421705765,True,4,CRITICAL,True
16h,0,41,36,21.57,25.53,16,30.0535,9.01605,-3.3333333333333335,True,False,30.0535,False,True,41.0,False,0.0,-4.319600000000001,4.319600000000001,4.103965023811322,1.0525430833200475,False,3,CRITICAL,True
17h,0,45,19,17.71,22.67,17,24.7305,12.77728322714444,-1.9355053465091694,False,False,24.7305,False,True,45.0,False,0.0,-5.323,5.323,8.772297304583333,0.6067965796392754,False,2,CRITICAL,True
18h,13,32,29,16.85,18.46,18,23.32,7.54519880453789,-1.3677572012805375,False,False,10.32,False,False,32.0,False,13.0,-1.410499999999999,14.410499999999999,9.507584253286074,1.515684701402393,False,0,NORMAL,False
19h,32,33,29,18.0,18.21,19,23.802500000000002,7.622402836376466,1.0754482773960712,False,False,8.197499999999998,False,False,33.0,False,19.0,0.4825000000000017,18.5175,3.0,6.172499999999999,False,0,NORMAL,False
20h,23,25,17,12.14,18.53,20,17.5245,5.3074876354071705,1.0316557241644786,False,False,5.4755,False,False,25.0,False,-9.0,-6.278000000000002,-2.7219999999999978,5.143575280548217,-0.5292038808674497,False,0,NORMAL,False
21h,28,30,23,14.85,17.82,21,20.66,6.639218704034383,1.1055517715570629,False,False,7.34,False,False,30.0,False,5.0,3.1355000000000004,1.8644999999999996,3.0,0.6214999999999998,False,0,NORMAL,False
22h,29,28,17,12.71,15.5,22,17.538,6.704925428369803,1.7094895569609347,False,False,11.462,False,False,28.0,False,1.0,-3.122,4.122,3.0,1.3739999999999999,False,0,NORMAL,False
23h,17,11,14,8.28,8.75,23,10.371500000000001,3.11145,2.1303572289447037,True,False,6.628499999999999,False,False,14.0,False,-12.0,-7.166499999999999,-4.833500000000001,6.32822513295263,-0.7638002597016932,False,1,INFO,True
